Legacy Site Name,Description,Website Name,Corporate Name,Email Communication Sent,Analytics Tag,JIRA Ticket,Notes,
durangoherald,The Durango Herald,durangoherald.com,Ballantine Communications,,,,,
durhamregion,Durham Region News,https://www.durhamregion.com/,Torstar Corporation,x,"This tag for Dev/QA/Staging etc sites:

<script src=""//assets.adobedtm.com/cf7f3d5747a0/f46648a2c5e6/launch-c4f646220e41-development.min.js"" async></script>

And this tag for Production:

<script src=""//resources.thestar.com/cf7f3d5747a0/f46648a2c5e6/launch-e805e17faa6d.min.js"" async></script>

Placed as high in the head as possible.
",CS-34847,The paper would like to see the tag on a test site (just one Torstar site) before we implement the tag to all of their sites.,
DVTOnline,The Desert Valley Times,dvtonline.com,"Gannett Co., Inc.",,,,,
eastbayexpress,East Bay Express,https://eastbayexpress.com,"Metro Publishing, Inc.",,,,,
eastbaytimes,East Bay Times,eastbaytimes.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-5""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-5', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'eastbaytimes.com',
	'Publisher Product': 'eastbaytimes.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-5'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
eastbourneherald-uk,Eastbourne Herald,eastbourneherald.co.uk,Johnston Press plc,,,,,
easternnewmexiconews,Eastern New Mexico News,easternnewmexiconews.com,Clovis Media Inc.,,,,,
eastwoodadvertiser-uk,Eastwood & Kimberley Advertiser,eastwoodadvertiser.co.uk,Johnston Press plc,,,,,
eccalifornian,The East County Californian,https://eccalifornian.com/,CommunityMedia Corporation,,,,,
edhtelegraph,El Dorado Hills Telegraph,EDHTelegraph.com,"Brehm Communications, Inc.",,,,,
edinburghnews-scotsman-uk,Edinburgh News,edinburghnews.scotsman.com,Johnston Press plc,,,,,
effinghamherald,Effingham Herald,effinghamherald.net,Morris Multimedia,,,,,
elgin-courier-news,Elgin Courier News,ChicagoTribune.com,Tribune Publishing,x,"<!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':
new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],
j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src=
'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);
})(window,document,'script','dataLayer','GTM-KSNSZQ6');</script>
<!-- End Google Tag Manager -->
Additionally, paste this code immediately after the opening <body> tag:
<!-- Google Tag Manager (noscript) -->
<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-KSNSZQ6""
height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>
<!-- End Google Tag Manager (noscript) -->",CS-34847,Client is requesting a comScore traffic assignment. Is this possible? Copy the code below and paste it onto every page of your website. Paste this code as high in the <head> of the page as possible,
elkharttruth,The Elkhart Truth,https://www.elkharttruth.com/,Paxton Media Group LLC,,,,,
elkintribune,The Tribune,elkintribune.com,"APG - Adams Publishing Company, LLC",,,,,
elkodaily,Elko Daily,ElkoDaily.com,"Lee Enterprises, Inc.",,,,,
elkvalleytimes,Elk Valley Times,elkvalleytimes.com,"Lakeway Publishers, Inc.",,,,,
ellontimes-uk,Ellon Times,ellontimes.co.uk,Johnston Press plc,,,,,
ellwoodcityledger,Ellwood City Ledger,EllwoodCityLedger.com,"Gannett Co., Inc.",,,,,
elpasotimes,El Paso Times,ElPasoTimes.com,"Gannett Co., Inc.",,,,,
emissourian,The Missourian,emissourian.com,Missourian Publishing,,,,,
empireadvance,Virden Empire-Advance,https://www.empireadvance.ca/,Glacier Media Inc.,,,,,
EncinitasAdvocate,Encinitas Advocate,EncinitasAdvocate.com,NantMedia Holdings,,,,,
englewood,Sun Newspapers,YourSun.com,"APG - Adams Publishing Company, LLC",,,,,
englewoodindependent,Brookville Star,englewoodindependent.com,AIM Media Management of Dallas,,,,,
eprisenow,Enterprise Ledger,EPriseNow.com,"Lee Enterprises, Inc.",,,,,
eptrail,Estes Park Trail-Gazette,eptrail.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-9""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-9', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'eptrail.com',
	'Publisher Product': 'eptrail.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-9'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
erietimesnews,Erie Times-News,GoErie.com,"Gatehouse Media, Inc.",,,,,
erinadvocate,Erin Advocate,https://www.erinadvocate.com/,Torstar Corporation,x,"This tag for Dev/QA/Staging etc sites:

<script src=""//assets.adobedtm.com/cf7f3d5747a0/f46648a2c5e6/launch-c4f646220e41-development.min.js"" async></script>

And this tag for Production:

<script src=""//resources.thestar.com/cf7f3d5747a0/f46648a2c5e6/launch-e805e17faa6d.min.js"" async></script>

Placed as high in the head as possible.
",CS-34847,The paper would like to see the tag on a test site (just one Torstar site) before we implement the tag to all of their sites.,
estevanmercury,Estevan Mercury,estevanmercury.ca,Glacier Media Inc.,,,,,
etpa,The Express Times,lehighvalleylive.com,"Advance Publications, Inc.",,,,,
eufaulatribune,The Eufaula Tribune,eufaulatribune.com,"Lee Enterprises, Inc.",,,,,
eureka-pacific,The Eureka-Pacific Current,CurrentNewsMagazine.net,"Lakeway Publishers, Inc.",,,,,
eveningsun,Evening Sun,EveningSun.com,"Gannett Co., Inc.",,,,,
eveningtribune,Hornell Evening Tribune,eveningtribune.com,"Gatehouse Media, Inc.",,,,,
event-newsenterprise,Event-News Enterprise,event-newsenterprise.com/,CommunityMedia Corporation,,,,,
